iter	Logloss
0	0.6487469924
1	0.6163755127
2	0.5973325943
3	0.576910835
4	0.5699733925
5	0.5599817665
6	0.5518887532
7	0.545907959
8	0.5389064939
9	0.5327130947
10	0.5276634274
11	0.5248499152
12	0.5229661548
13	0.5209482649
14	0.519734951
15	0.5192879043
16	0.5179421658
17	0.5169965819
18	0.5162445062
19	0.5152649974
20	0.5143517525
21	0.5128145158
22	0.5123556699
23	0.5122651453
24	0.5112098289
25	0.5107961114
26	0.5103589952
27	0.5098559452
28	0.5092045163
29	0.5088182934
30	0.5082510379
31	0.5076196076
32	0.507148117
33	0.5068697469
34	0.5065559347
35	0.5060580093
36	0.5058107465
37	0.5052294996
38	0.5044405175
39	0.5039634516
40	0.5033476702
41	0.502537061
42	0.5023712219
43	0.5020233411
44	0.5017078467
45	0.5016055546
46	0.5011022348
47	0.5009127619
48	0.500521523
49	0.500359745
50	0.5000679949
51	0.4997281558
52	0.4992572792
53	0.4991746759
54	0.4989807554
55	0.4986551318
56	0.4980350533
57	0.4977578624
58	0.4975575243
59	0.4971257372
60	0.4967288956
61	0.4965864328
62	0.4964053021
63	0.496265939
64	0.4960146445
65	0.4957929337
66	0.4955486659
67	0.4951970311
68	0.4950224214
69	0.4948390679
70	0.4948101483
71	0.4947203335
72	0.494596911
73	0.4943083901
74	0.4942600418
75	0.4940545801
76	0.4939109925
77	0.4937872103
78	0.4937065627
79	0.4935469608
80	0.4932590438
81	0.4931425465
82	0.4929207914
83	0.4927856412
84	0.4924959639
85	0.4922428907
86	0.4920900709
87	0.4917293396
88	0.4915927537
89	0.4913952242
90	0.4912336693
91	0.4910139262
92	0.4909341175
93	0.4908618546
94	0.4906759392
95	0.4903098871
96	0.4901998057
97	0.4899865792
98	0.489799717
99	0.4895555746
100	0.4894365203
101	0.4892263912
102	0.4888860358
103	0.4887367542
104	0.4885707528
105	0.4883352174
106	0.4881709939
107	0.4880680745
108	0.4878761134
109	0.4877303874
110	0.4875385871
111	0.4873735789
112	0.4871821864
113	0.4869558007
114	0.4867415347
115	0.486605593
116	0.486429329
117	0.4861999775
118	0.4859391142
119	0.485724109
120	0.485429635
121	0.485334979
122	0.4851886994
123	0.4850090161
124	0.4847447384
125	0.4843932309
126	0.4841423422
127	0.4839932413
128	0.4837206677
129	0.483448925
130	0.4833138509
131	0.4830869755
132	0.4828567363
133	0.4825807677
134	0.4822590598
135	0.4820619256
136	0.4819594863
137	0.4817782744
138	0.4816469853
139	0.4814910566
140	0.4813412488
141	0.481120289
142	0.4808474895
143	0.4806363443
144	0.4804001855
145	0.4802291144
146	0.4800068695
147	0.4798365625
148	0.4797110705
149	0.4795458489
150	0.4793742659
151	0.4790929152
152	0.47898524
153	0.478726611
154	0.478582199
155	0.4783453002
156	0.478120482
157	0.4780166345
158	0.4778341192
159	0.4776369159
160	0.477491208
161	0.4772841608
162	0.4772042335
163	0.4769881505
164	0.4768437358
165	0.476720933
166	0.4765200183
167	0.4763822072
168	0.4762527201
169	0.4761132468
170	0.4759846837
171	0.4758182599
172	0.4756517496
173	0.4755198187
174	0.4753378926
175	0.4751813934
176	0.4750689552
177	0.4748368629
178	0.4746551287
179	0.4744795942
180	0.4743433392
181	0.4741451554
182	0.4740205338
183	0.473939704
184	0.4738198712
185	0.4735951913
186	0.4733913066
187	0.4731418735
188	0.4730678316
189	0.4728787172
190	0.4728126084
191	0.4727239454
192	0.4726540799
193	0.4724947841
194	0.4723667213
195	0.4722025265
196	0.4720625351
197	0.4719087478
198	0.471820976
199	0.4716318115
